date,gpu,engines,family,model,weights,kv_cache,benchmark,metric,value,n,harness,engine_version,source_tag,notes
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,BFCL v4,overall accuracy,0.3277,4441,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,BFCL v4,non-live AST accuracy,0.8504,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,BFCL v4,live accuracy,0.7898,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,BFCL v4,multi-turn accuracy,0.29,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,BFCL v4,irrelevance detection,0.7665,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,BFCL v4,relevance detection,0.9375,,"bfcl-eval (gorilla main, 2026-09-10)",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,tau-bench retail,pass^1,0.2281,114,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,tau-bench retail,pass^2,0.1667,114,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,tau-bench airline,pass^1,0.34,50,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-bf16,
2026-09-10,RTX PRO 6000 Blackwell SE 96 GB,4,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,bf16,auto,tau-bench airline,pass^2,0.28,50,"tau2-bench 1.0.x, user simulator and judge Claude Sonnet 4.5",vLLM 0.28.0,coder-bf16,
